variable,moy_traite,moy_temoin,sd_traite,var_ratio,smd,echantillon
jours_ns_min_m4,0.004610601844966246,0.007252359239454866,0.3736885349646992,0.6346082612501157,-0.007069409808727945,Avant appariement
jours_ns_min_m3,0.003979410089636484,0.005355653495569414,0.34834453608910576,0.7428807879610988,-0.003950810945347768,Avant appariement
jours_ns_min_m2,0.0038850940802193936,0.004714245191554579,0.3448498990139772,0.8265076235236996,-0.0024043826421465157,Avant appariement
jours_ns_min_m1,0.003058015228407982,0.003727788856007011,0.30360768608245514,0.8138471920815241,-0.0022060496433450923,Avant appariement
jours_indemnises_m24,1.0491749162945416,1.4140407029665663,5.372570027640173,0.7529028947265585,-0.06791270933555181,Avant appariement
jours_indemnises_m23,1.0000798058541223,1.3681006270136622,5.243075704973099,0.7412884031940854,-0.0701917809064762,Avant appariement
jours_indemnises_m22,0.9454127957804468,1.3246478604905185,5.106692316084573,0.7238140504994682,-0.0742623681312448,Avant appariement
jours_indemnises_m21,0.8916853182621187,1.2790337808373449,4.958186244578338,0.7062955668940515,-0.07812301585056083,Avant appariement
jours_indemnises_m20,0.839180321327389,1.2181634977286102,4.8048164315995825,0.6974438308000289,-0.07887568272302405,Avant appariement
jours_indemnises_m19,0.7865882634608897,1.164805947527297,4.6686590615225585,0.6863318434285238,-0.08101205915496036,Avant appariement
jours_indemnises_m18,0.7295597256129633,1.111454747903251,4.487720159131812,0.6631813375077662,-0.08509777988567108,Avant appariement
jours_indemnises_m17,0.6725710906920981,1.0502817539447669,4.320613419400857,0.6509125034247801,-0.08742061059122624,Avant appariement
jours_indemnises_m16,0.6149766567876692,0.9945575552817751,4.12461554726128,0.6250935369377312,-0.09202818884444766,Avant appariement
jours_indemnises_m15,0.5546942166148533,0.9324086892831892,3.9230479218498697,0.6030114371693497,-0.09628087145319113,Avant appariement
jours_indemnises_m14,0.4920901515948474,0.8677873318684668,3.6918511344408795,0.5724567495360195,-0.10176390287484266,Avant appariement
jours_indemnises_m13,0.4331716660197556,0.8003780710333236,3.4685430719807573,0.5485061666929082,-0.10586762147481996,Avant appariement
jours_indemnises_m12,0.38663397045006875,0.7425391301402631,3.267658466724662,0.5255410490256045,-0.10891749040313137,Avant appariement
jours_indemnises_m11,0.3269537017219927,0.6761904157087879,2.9974622617159654,0.48639140481193266,-0.11651079596473943,Avant appariement
jours_indemnises_m10,0.2730339646460066,0.599399235390497,2.734865961178475,0.4557811678902672,-0.11933501508931613,Avant appariement
